287,194,195,110,video14_92.JPEG
276,123,189,110,video14_93.JPEG
272,61,185,115,video14_94.JPEG
270,3,165,103,video14_95.JPEG
296,3,166,94,video14_96.JPEG
347,25,152,105,video14_97.JPEG
377,68,144,103,video14_98.JPEG
406,96,137,109,video14_99.JPEG
426,97,109,101,video14_100.JPEG
445,109,102,90,video14_101.JPEG
513,193,33,28,video14_102.JPEG
519,199,37,29,video14_103.JPEG
514,209,39,29,video14_104.JPEG
511,207,39,26,video14_105.JPEG
508,202,36,30,video14_106.JPEG
507,196,38,27,video14_107.JPEG
506,187,36,28,video14_108.JPEG
500,185,47,27,video14_109.JPEG
508,181,36,28,video14_110.JPEG
512,184,41,30,video14_111.JPEG
509,197,43,28,video14_112.JPEG
505,209,51,30,video14_113.JPEG
503,217,43,36,video14_114.JPEG
494,229,44,30,video14_115.JPEG
489,230,42,33,video14_116.JPEG
479,235,48,31,video14_117.JPEG
479,237,49,34,video14_118.JPEG
486,242,45,34,video14_119.JPEG
495,241,44,37,video14_120.JPEG
500,240,52,32,video14_121.JPEG
501,226,62,35,video14_122.JPEG
507,211,52,41,video14_123.JPEG
510,205,56,28,video14_124.JPEG
595,380,90,65,video15_372.JPEG
639,134,65,42,video17_144.JPEG
639,137,59,43,video17_145.JPEG
637,146,60,34,video17_146.JPEG
625,134,61,44,video17_147.JPEG
620,141,52,30,video17_148.JPEG
593,136,64,29,video17_149.JPEG
589,128,51,32,video17_150.JPEG
575,126,56,32,video17_151.JPEG
566,116,57,36,video17_152.JPEG
554,103,51,43,video17_153.JPEG
541,101,43,34,video17_154.JPEG
519,90,49,44,video17_155.JPEG
498,91,45,41,video17_156.JPEG
477,92,52,39,video17_157.JPEG
472,86,39,33,video17_158.JPEG
478,82,35,33,video17_159.JPEG
815,63,82,61,video17_178.JPEG
838,118,73,64,video17_179.JPEG
861,165,66,63,video17_180.JPEG
874,209,59,60,video17_181.JPEG
873,248,61,53,video17_182.JPEG
869,268,68,45,video17_183.JPEG
851,266,38,38,video17_184.JPEG
824,244,52,48,video17_185.JPEG
815,232,43,28,video17_186.JPEG
796,212,43,32,video17_187.JPEG
776,189,39,31,video17_188.JPEG
752,165,47,37,video17_189.JPEG
732,143,44,34,video17_190.JPEG
714,135,34,28,video17_191.JPEG
698,129,37,29,video17_192.JPEG
690,138,31,26,video17_193.JPEG
665,138,54,29,video17_194.JPEG
671,134,31,42,video17_195.JPEG
660,144,36,30,video17_196.JPEG
655,142,34,29,video17_197.JPEG
652,143,28,26,video17_198.JPEG
647,145,34,30,video17_199.JPEG
641,140,30,24,video17_200.JPEG
634,149,39,30,video17_201.JPEG
633,153,36,25,video17_202.JPEG
707,59,23,27,video92.JPEG
701,21,23,15,video93.JPEG
262,198,37,27,video101.JPEG
261,221,36,29,video102.JPEG
264,229,33,23,video103.JPEG
266,235,30,18,video104.JPEG
275,225,32,18,video105.JPEG
284,212,26,12,video106.JPEG
292,196,25,14,video107.JPEG
294,185,26,20,video108.JPEG
295,175,23,19,video109.JPEG
